module	annotation_available	top_category	top_subcategory	top_pathway	top_pathway_id	top_fdr	top_significant	priority_theme	priority_category	priority_subcategory	priority_pathway	priority_pathway_id	priority_fdr	priority_significant	priority_is_top	displayed_selection	displayed_category	displayed_subcategory	displayed_pathway	displayed_pathway_id	displayed_fdr	subtitle_text
959	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0025431872145945	True	metabolism	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0025431872145945	True	True	priority_significant_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0025431872145945	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=0.003
960	True	Genetic Information Processing	Transcription	Spliceosome	hsa03040	0.158010288763744	False							False	False	overall_lowest_fdr	Genetic Information Processing	Transcription	Spliceosome	hsa03040	0.158010288763744	KEGG enrichment: Genetic Information Processing / Transcription / Spliceosome | FDR=0.158
962	True	Environmental Information Processing	Signal transduction	AMPK signaling pathway	hsa04152	0.0580816743641483	False							False	False	overall_lowest_fdr	Environmental Information Processing	Signal transduction	AMPK signaling pathway	hsa04152	0.0580816743641483	KEGG enrichment: Environmental Information Processing / Signal transduction / AMPK signaling pathway | FDR=0.058
1053	True	Environmental Information Processing	Signal transduction	AMPK signaling pathway	hsa04152	0.240720241057263	False							False	False	overall_lowest_fdr	Environmental Information Processing	Signal transduction	AMPK signaling pathway	hsa04152	0.240720241057263	KEGG enrichment: Environmental Information Processing / Signal transduction / AMPK signaling pathway | FDR=0.241
1056	True	Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis	hsa04120	0.0210095111817638	True	metabolism	Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism	hsa00860	0.0296492481621169	True	False	priority_significant_lowest_fdr	Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism	hsa00860	0.0296492481621169	KEGG enrichment: Metabolism / Metabolism of cofactors and vitamins / Porphyrin metabolism | FDR=0.030
1058	True	Metabolism	Lipid metabolism	Arachidonic acid metabolism	hsa00590	0.0786738658659131	False							False	False	overall_lowest_fdr	Metabolism	Lipid metabolism	Arachidonic acid metabolism	hsa00590	0.0786738658659131	KEGG enrichment: Metabolism / Lipid metabolism / Arachidonic acid metabolism | FDR=0.079
1059	True	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0062874605194996	True	metabolism	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0062874605194996	True	True	priority_significant_lowest_fdr	Metabolism	Global and overview maps	Metabolic pathways	hsa01100	0.0062874605194996	KEGG enrichment: Metabolism / Global and overview maps / Metabolic pathways | FDR=0.006
1060	True	Cellular Processes	Transport and catabolism	Endocytosis	hsa04144	0.679468586129441	False							False	False	overall_lowest_fdr	Cellular Processes	Transport and catabolism	Endocytosis	hsa04144	0.679468586129441	KEGG enrichment: Cellular Processes / Transport and catabolism / Endocytosis | FDR=0.679
1063	True	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	1.66453512713856e-20	True	metabolism	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	1.66453512713856e-20	True	True	priority_significant_lowest_fdr	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	1.66453512713856e-20	KEGG enrichment: Metabolism / Energy metabolism / Oxidative phosphorylation | FDR=1.66e-20
1064	True	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	hsa00051	0.0235885653118562	True	metabolism	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	hsa00051	0.0235885653118562	True	True	priority_significant_lowest_fdr	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	hsa00051	0.0235885653118562	KEGG enrichment: Metabolism / Carbohydrate metabolism / Fructose and mannose metabolism | FDR=0.024
1065	True	Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts	hsa05204	0.0614622201198643	False							False	False	overall_lowest_fdr	Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts	hsa05204	0.0614622201198643	KEGG enrichment: Human Diseases / Cancer: overview / Chemical carcinogenesis - DNA adducts | FDR=0.061
1067	True	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	0.0661431383819377	False							False	False	overall_lowest_fdr	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	0.0661431383819377	KEGG enrichment: Metabolism / Energy metabolism / Oxidative phosphorylation | FDR=0.066
1070	True	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection	hsa05110	0.0016251685353592	True	infection	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection	hsa05110	0.0016251685353592	True	True	priority_significant_lowest_fdr	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection	hsa05110	0.0016251685353592	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Vibrio cholerae infection | FDR=0.002
1072	True	Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy	hsa05415	2.64829980629059e-27	True	metabolism	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	2.8223398343827003e-26	True	False	priority_significant_lowest_fdr	Metabolism	Energy metabolism	Oxidative phosphorylation	hsa00190	2.8223398343827003e-26	KEGG enrichment: Metabolism / Energy metabolism / Oxidative phosphorylation | FDR=2.82e-26
1073	True	Metabolism	Global and overview maps	Nucleotide metabolism	hsa01232	0.113219362244492	False							False	False	overall_lowest_fdr	Metabolism	Global and overview maps	Nucleotide metabolism	hsa01232	0.113219362244492	KEGG enrichment: Metabolism / Global and overview maps / Nucleotide metabolism | FDR=0.113
1074	True	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	hsa00130	0.060595215620217	False							False	False	overall_lowest_fdr	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	hsa00130	0.060595215620217	KEGG enrichment: Metabolism / Metabolism of cofactors and vitamins / Ubiquinone and other terpenoid-quinone biosynthesis | FDR=0.061
