module_definition	module	component	component_class	n_features	n_edges	mdc	log2_mdc	direction	p_loss_sample	p_loss_gene	q_loss_sample	q_loss_gene	q_loss_max	p_gain_sample	p_gain_gene	q_gain_sample	q_gain_gene	q_gain_max	directional_p_sample	directional_p_gene	directional_fdr	significant_fdr_05	significant_fdr_10	component_label
control_derived	771	TS_DLPFC	TS	1162	103285	0.804947866910448	-0.313032745927558	Higher in Control	0.0049751243781094	1.0	0.008401389280015	1.0	1.0	1.0	0.0049751243781094	1.0	0.0117177271537052	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	771	TS_PCGBA23	TS	1162	78606	0.94641492983895	-0.0794552622972327	Higher in Control	1.0	0.995024875621891	1.0	1.0	1.0	0.0049751243781094	0.0099502487562189	0.0078241272271123	0.0234723816813369	0.0234723816813369	0.0049751243781094	0.0099502487562189	0.0234723816813369	True	True	TS: PCG
control_derived	771	CT_AC__DLPFC	CT	1162	141050	0.736157223012854	-0.441914175565065	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	771	CT_AC__PCGBA23	CT	1162	123070	0.757987366356002	-0.399754292200015	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	771	CT_DLPFC__PCGBA23	CT	1162	180635	0.871080343124046	-0.19912230455803	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	772	TS_AC	TS	666	22155	1.21273069011218	0.278259208185639	Higher in AD	0.0049751243781094	0.0049751243781094	0.0823156942559928	0.0823156942559928	0.0823156942559928	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0823156942559928	False	True	TS: AC
control_derived	772	TS_DLPFC	TS	666	16290	1.22291088403765	0.290319275622207	Higher in AD	0.0049751243781094	0.0049751243781094	0.008401389280015	0.178109452736318	0.178109452736318	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.178109452736318	False	False	TS: DLPFC
control_derived	772	TS_PCGBA23	TS	666	37401	1.2478202155288	0.319410087365786	Higher in AD	0.945273631840796	0.0049751243781094	1.0	0.183084577114428	1.0	0.0597014925373134	1.0	0.0779083306869906	1.0	1.0	0.945273631840796	0.0049751243781094	1.0	False	False	TS: PCG
control_derived	772	CT_AC__DLPFC	CT	666	38191	0.93310691550399	-0.0998857001658758	Higher in Control	0.0049751243781094	0.298507462686567	0.12864250177683	1.0	1.0	1.0	0.706467661691542	1.0	0.734888774518213	1.0	1.0	0.706467661691542	1.0	False	False	CT: AC - DLPFC
control_derived	772	CT_AC__PCGBA23	CT	666	57814	0.968716502567288	-0.0458535759776084	Higher in Control	1.0	0.144278606965174	1.0	1.0	1.0	0.0049751243781094	0.860696517412935	0.0053555750658472	0.875041459369817	0.875041459369817	0.0049751243781094	0.860696517412935	0.875041459369817	False	False	CT: AC - PCG
