cluster_id	cluster_size_expanded	term	p	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	fdr	significant	neglog10_p	neglog10_fdr	pathway_id	pathway_num	pathway_name	category_level1	category_level2
1085	419	KEGG_hsa05010	0.0055913990948349	17	1047	349	51873	3	6	4	7	ENSG00000007171(AC),ENSG00000078142(PCGBA23),ENSG00000126067(AC),ENSG00000126067(PCGBA23),ENSG00000136930(PCGBA23),ENSG00000143106(AC),ENSG00000143106(PCGBA23),ENSG00000143801(AC),ENSG00000145494(DLPFC),ENSG00000159377(DLPFC),ENSG00000163636(PCGBA23),ENSG00000165629(AC),ENSG00000165916(DLPFC),ENSG00000165916(PCGBA23),ENSG00000185627(AC),ENSG00000185627(PCGBA23),ENSG00000277791(DLPFC)	0.0368100440409968	True	2.252479508188694	1.4340336629458774	hsa05010	5010	Alzheimer disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease
1070	96	KEGG_hsa04114	0.0184337082177127	3	300	100	51873	3	0	0	3	ENSG00000072062(PCGBA23),ENSG00000105568(PCGBA23),ENSG00000164924(PCGBA23)	0.0368674164354254	True	1.7343872911240894	1.4333572954601084	hsa04114	4114	Oocyte meiosis - Homo sapiens (human)	Cellular Processes	Cell growth and death
682	565	KEGG_hsa04730	0.0105678065050022	6	168	56	51873	3	6	0	0	ENSG00000125675(AC),ENSG00000141837(AC),ENSG00000152402(AC),ENSG00000152822(AC),ENSG00000169032(AC),ENSG00000182621(AC)	0.0368837168213802	True	1.9760151471894352	1.4331653209784774	hsa04730	4730	Long-term depression - Homo sapiens (human)	Organismal Systems	Nervous system
1056	195	KEGG_hsa04110	0.0048151108518571	6	411	137	51873	3	6	0	0	ENSG00000101412(AC),ENSG00000104738(AC),ENSG00000110200(AC),ENSG00000153107(AC),ENSG00000164109(AC),ENSG00000196510(AC)	0.0369158498642383	True	2.317393710243348	1.4327871289454177	hsa04110	4110	Cell cycle - Homo sapiens (human)	Cellular Processes	Cell growth and death
738	391	KEGG_hsa04728	0.005505790544069	8	351	117	51873	3	2	2	4	ENSG00000078369(PCGBA23),ENSG00000087258(AC),ENSG00000087258(DLPFC),ENSG00000120251(PCGBA23),ENSG00000127955(DLPFC),ENSG00000157388(PCGBA23),ENSG00000175470(AC),ENSG00000186469(PCGBA23)	0.0371640861724659	True	2.25918031442567	1.429876541594645	hsa04728	4728	Dopaminergic synapse - Homo sapiens (human)	Organismal Systems	Nervous system
905	106	KEGG_hsa04024	0.0260200467097758	4	546	182	51873	3	0	4	0	ENSG00000050748(DLPFC),ENSG00000107643(DLPFC),ENSG00000143933(DLPFC),ENSG00000163399(DLPFC)	0.0371714952996797	True	1.5846919281518472	1.429789968166104	hsa04024	4024	cAMP signaling pathway - Homo sapiens (human)	Environmental Information Processing	Signal transduction
1070	96	KEGG_hsa05165	0.020964033311141	5	849	283	51873	3	0	0	5	ENSG00000047249(PCGBA23),ENSG00000072062(PCGBA23),ENSG00000105568(PCGBA23),ENSG00000131100(PCGBA23),ENSG00000159720(PCGBA23)	0.0372693925531396	True	1.6785251588896284	1.4286476856730286	hsa05165	5165	Human papillomavirus infection - Homo sapiens (human)	Human Diseases	Infectious disease: viral
1091	155	KEGG_hsa05203	0.022094612017276	5	531	177	51873	3	0	5	0	ENSG00000070501(DLPFC),ENSG00000070831(DLPFC),ENSG00000100764(DLPFC),ENSG00000114062(DLPFC),ENSG00000187555(DLPFC)	0.0373908818753903	True	1.65571362027211	1.4272342917567409	hsa05203	5203	Viral carcinogenesis - Homo sapiens (human)	Human Diseases	Cancer: overview
902	167	KEGG_hsa01230	0.0234793148734283	3	189	63	51873	3	0	3	0	ENSG00000062485(DLPFC),ENSG00000120053(DLPFC),ENSG00000125166(DLPFC)	0.0374399885819533	True	1.6293145799555404	1.4266642923803912	hsa01230	1230	Biosynthesis of amino acids - Homo sapiens (human)	Metabolism	Global and overview maps
1130	68	KEGG_hsa01100	0.032145110355236	10	3942	1314	51873	3	10	0	0	ENSG00000006530(AC),ENSG00000007168(AC),ENSG00000033627(AC),ENSG00000065989(AC),ENSG00000071553(AC),ENSG00000105220(AC),ENSG00000131100(AC),ENSG00000147416(AC),ENSG00000155097(AC),ENSG00000159720(AC)	0.0375026287477754	True	1.492885078952488	1.4259382893218748	hsa01100	1100	Metabolic pathways - Homo sapiens (human)	Metabolism	Global and overview maps
747	444	KEGG_hsa04923	0.0075140614689733	5	141	47	51873	3	1	2	2	ENSG00000121879(DLPFC),ENSG00000121879(PCGBA23),ENSG00000133124(DLPFC),ENSG00000162104(PCGBA23),ENSG00000169047(AC)	0.0375703073448666	True	2.1241252565009106	1.4251552521648916	hsa04923	4923	Regulation of lipolysis in adipocytes - Homo sapiens (human)	Organismal Systems	Endocrine system
468	214	KEGG_hsa05220	0.0025173452741212	5	225	75	51873	3	1	3	1	ENSG00000132155(AC),ENSG00000132155(DLPFC),ENSG00000132155(PCGBA23),ENSG00000134574(DLPFC),ENSG00000141646(DLPFC)	0.0375779873160803	True	2.599057213390195	1.4250664845050012	hsa05220	5220	Chronic myeloid leukemia - Homo sapiens (human)	Human Diseases	Cancer: specific types
