cluster_id	cluster_size_expanded	pathway_id	pathway_num	pathway_name	category_level1	category_level2	term	p	fdr	significant	p_AC	fdr_AC	significant_AC	p_DLPFC	fdr_DLPFC	significant_DLPFC	p_PCGBA23	fdr_PCGBA23	significant_PCGBA23	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	neglog10_p	neglog10_fdr
637	660	hsa01524	1524	Platinum drug resistance - Homo sapiens (human)	Human Diseases	Drug resistance: antineoplastic	KEGG_hsa01524	0.0346725538742535	0.1213539385598874	False	1.0	1.0	False	0.0678887677106428	0.5659389034806537	False	1.0	1.0	False	6	189	63	51873	3	1	3	2	ENSG00000012061(PCGBA23),ENSG00000110330(DLPFC),ENSG00000116062(AC),ENSG00000116062(DLPFC),ENSG00000116062(PCGBA23),ENSG00000168040(DLPFC)	1.460014168362435	0.9159461240121596
637	660	hsa04657	4657	IL-17 signaling pathway - Homo sapiens (human)	Organismal Systems	Immune system	KEGG_hsa04657	0.0346725538742535	0.1213539385598874	False	1.0	1.0	False	0.0145018343184593	0.2537821005730378	False	1.0	1.0	False	6	189	63	51873	3	1	4	1	ENSG00000056736(AC),ENSG00000130522(DLPFC),ENSG00000130522(PCGBA23),ENSG00000166484(DLPFC),ENSG00000168040(DLPFC),ENSG00000213341(DLPFC)	1.460014168362435	0.9159461240121596
59	252	hsa04936	4936	Alcoholic liver disease - Homo sapiens (human)	Human Diseases	Endocrine and metabolic disease	KEGG_hsa04936	0.0822232358060976	0.1214661438044624	False	0.1433553301208238	0.5337698461945567	False	1.0	1.0	False	1.0	1.0	False	4	336	112	51873	3	3	0	1	ENSG00000102871(PCGBA23),ENSG00000137275(AC),ENSG00000173039(AC),ENSG00000198001(AC)	1.0850054360319463	0.9155447558752784
1640	63	hsa05016	5016	Huntington disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05016	0.081075614149631	0.1216134212244465	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	834	278	51873	3	2	1	0	ENSG00000112592(DLPFC),ENSG00000115423(AC),ENSG00000119661(AC)	1.0911097528518987	0.9150184937962176
1139	368	hsa04081	4081	Hormone signaling - Homo sapiens (human)	Environmental Information Processing	Signaling molecules and interaction	KEGG_hsa04081	0.0379556803492686	0.1216307029374289	False	0.1236339283471531	0.4993206081114243	False	1.0	1.0	False	1.0	1.0	False	7	438	146	51873	3	5	1	1	ENSG00000091428(AC),ENSG00000113389(DLPFC),ENSG00000120088(PCGBA23),ENSG00000138031(AC),ENSG00000168243(AC),ENSG00000176533(AC),ENSG00000242616(AC)	1.4207232195119748	0.9149567833427824
661	863	hsa04066	4066	HIF-1 signaling pathway - Homo sapiens (human)	Environmental Information Processing	Signal transduction	KEGG_hsa04066	0.0101710462711611	0.1219684812232731	False	0.0843335844103674	1.0	False	0.1064643474175167	1.0	False	0.1615436660434938	1.0	False	11	291	97	51873	3	4	4	3	ENSG00000067057(AC),ENSG00000100393(DLPFC),ENSG00000100393(PCGBA23),ENSG00000108515(AC),ENSG00000108515(DLPFC),ENSG00000134086(DLPFC),ENSG00000134086(PCGBA23),ENSG00000135766(DLPFC),ENSG00000135766(PCGBA23),ENSG00000146648(AC),ENSG00000198793(AC)	1.9926343699464708	0.9137523840737828
661	863	hsa00010	10	Glycolysis / Gluconeogenesis - Homo sapiens (human)	Metabolism	Carbohydrate metabolism	KEGG_hsa00010	0.0106639109266249	0.1219684812232731	False	0.0484304196175201	1.0	False	1.0	1.0	False	1.0	1.0	False	7	144	48	51873	3	3	2	2	ENSG00000067057(AC),ENSG00000106633(DLPFC),ENSG00000106633(PCGBA23),ENSG00000108515(AC),ENSG00000108515(DLPFC),ENSG00000143891(AC),ENSG00000143891(PCGBA23)	1.972083491148288	0.9137523840737828
1402	222	hsa05016	5016	Huntington disease - Homo sapiens (human)	Human Diseases	Neurodegenerative disease	KEGG_hsa05016	0.0687457805934534	0.1221130243128935	False	1.0	1.0	False	1.0	1.0	False	0.0422424884109331	0.4348491454066645	False	7	834	278	51873	3	0	0	7	ENSG00000120251(PCGBA23),ENSG00000132535(PCGBA23),ENSG00000148408(PCGBA23),ENSG00000150995(PCGBA23),ENSG00000168959(PCGBA23),ENSG00000177169(PCGBA23),ENSG00000273079(PCGBA23)	1.1627539523517283	0.9132380126680538
1402	222	hsa04514	4514	Cell adhesion molecule (CAM) interaction - Homo sapiens (human)	Environmental Information Processing	Signaling molecules and interaction	KEGG_hsa04514	0.0697788710359391	0.1221130243128935	False	1.0	1.0	False	1.0	1.0	False	0.0499589203072674	0.4857117252095445	False	4	360	120	51873	3	0	0	4	ENSG00000110076(PCGBA23),ENSG00000153563(PCGBA23),ENSG00000162706(PCGBA23),ENSG00000165300(PCGBA23)	1.1562760613543484	0.9132380126680538
154	345	hsa04916	4916	Melanogenesis - Homo sapiens (human)	Organismal Systems	Endocrine system	KEGG_hsa04916	0.0337618300765593	0.1225404640923007	False	1.0	1.0	False	1.0	1.0	False	0.0244426040336146	0.2908683035919582	False	5	267	89	51873	3	0	0	5	ENSG00000136160(PCGBA23),ENSG00000149782(PCGBA23),ENSG00000152284(PCGBA23),ENSG00000155760(PCGBA23),ENSG00000161202(PCGBA23)	1.4715740202629188	0.9117204792158844
