ensembl_id	ensembl_base	gene_symbol
ENSG00000125352.5	ENSG00000125352	RNF113A
ENSG00000125354.22	ENSG00000125354	SEPT6
ENSG00000125355.15	ENSG00000125355	TMEM255A
ENSG00000125356.6	ENSG00000125356	NDUFA1
ENSG00000125375.14	ENSG00000125375	ATP5S
ENSG00000125378.15	ENSG00000125378	BMP4
ENSG00000125386.15	ENSG00000125386	FAM193A
ENSG00000125388.19	ENSG00000125388	GRK4
ENSG00000125398.5	ENSG00000125398	SOX9
ENSG00000125409.12	ENSG00000125409	TEKT3
ENSG00000125430.8	ENSG00000125430	HS3ST3B1
ENSG00000125434.10	ENSG00000125434	SLC25A35
ENSG00000125445.10	ENSG00000125445	MRPS7
ENSG00000125447.16	ENSG00000125447	GGA3
ENSG00000125449.6	ENSG00000125449	ARMC7
ENSG00000125450.10	ENSG00000125450	NUP85
ENSG00000125454.11	ENSG00000125454	SLC25A19
ENSG00000125457.13	ENSG00000125457	MIF4GD
ENSG00000125458.6	ENSG00000125458	NT5C
ENSG00000125459.14	ENSG00000125459	MSTO1
ENSG00000125462.16	ENSG00000125462	C1orf61
ENSG00000125482.12	ENSG00000125482	TTF1
ENSG00000125484.11	ENSG00000125484	GTF3C4
ENSG00000125485.17	ENSG00000125485	DDX31
ENSG00000125503.12	ENSG00000125503	PPP1R12C
ENSG00000125505.16	ENSG00000125505	MBOAT7
ENSG00000125510.15	ENSG00000125510	OPRL1
ENSG00000125520.13	ENSG00000125520	SLC2A4RG
ENSG00000125534.9	ENSG00000125534	PPDPF
ENSG00000125538.11	ENSG00000125538	IL1B
ENSG00000125551.18	ENSG00000125551	PLGLB2
ENSG00000125611.15	ENSG00000125611	CHCHD5
ENSG00000125618.16	ENSG00000125618	PAX8
ENSG00000125629.14	ENSG00000125629	INSIG2
ENSG00000125630.15	ENSG00000125630	POLR1B
ENSG00000125633.10	ENSG00000125633	CCDC93
ENSG00000125637.15	ENSG00000125637	PSD4
ENSG00000125648.14	ENSG00000125648	SLC25A23
ENSG00000125650.4	ENSG00000125650	PSPN
ENSG00000125651.13	ENSG00000125651	GTF2F1
ENSG00000125652.7	ENSG00000125652	ALKBH7
ENSG00000125656.8	ENSG00000125656	CLPP
ENSG00000125657.4	ENSG00000125657	TNFSF9
ENSG00000125675.17	ENSG00000125675	GRIA3
ENSG00000125676.19	ENSG00000125676	THOC2
ENSG00000125686.11	ENSG00000125686	MED1
ENSG00000125691.12	ENSG00000125691	RPL23
ENSG00000125703.14	ENSG00000125703	ATG4C
ENSG00000125730.16	ENSG00000125730	C3
ENSG00000125733.17	ENSG00000125733	TRIP10
ENSG00000125734.15	ENSG00000125734	GPR108
ENSG00000125740.13	ENSG00000125740	FOSB
ENSG00000125741.4	ENSG00000125741	OPA3
ENSG00000125743.10	ENSG00000125743	SNRPD2
ENSG00000125744.11	ENSG00000125744	RTN2
ENSG00000125746.16	ENSG00000125746	EML2
ENSG00000125753.13	ENSG00000125753	VASP
ENSG00000125755.18	ENSG00000125755	SYMPK
ENSG00000125772.12	ENSG00000125772	GPCPD1
ENSG00000125775.14	ENSG00000125775	SDCBP2
ENSG00000125779.21	ENSG00000125779	PANK2
ENSG00000125804.13	ENSG00000125804	FAM182A
ENSG00000125810.9	ENSG00000125810	CD93
ENSG00000125812.15	ENSG00000125812	GZF1
ENSG00000125814.17	ENSG00000125814	NAPB
ENSG00000125817.7	ENSG00000125817	CENPB
ENSG00000125818.17	ENSG00000125818	PSMF1
ENSG00000125820.5	ENSG00000125820	NKX2-2
ENSG00000125821.11	ENSG00000125821	DTD1
ENSG00000125826.20	ENSG00000125826	RBCK1
ENSG00000125827.8	ENSG00000125827	TMX4
ENSG00000125834.12	ENSG00000125834	STK35
ENSG00000125835.18	ENSG00000125835	SNRPB
ENSG00000125841.12	ENSG00000125841	NRSN2
ENSG00000125843.10	ENSG00000125843	AP5S1
ENSG00000125844.15	ENSG00000125844	RRBP1
ENSG00000125845.6	ENSG00000125845	BMP2
ENSG00000125846.15	ENSG00000125846	ZNF133
ENSG00000125848.9	ENSG00000125848	FLRT3
ENSG00000125851.9	ENSG00000125851	PCSK2
ENSG00000125863.18	ENSG00000125863	MKKS
ENSG00000125864.13	ENSG00000125864	BFSP1
ENSG00000125868.15	ENSG00000125868	DSTN
ENSG00000125869.9	ENSG00000125869	LAMP5
ENSG00000125870.10	ENSG00000125870	SNRPB2
ENSG00000125871.13	ENSG00000125871	MGME1
ENSG00000125875.13	ENSG00000125875	TBC1D20
ENSG00000125877.12	ENSG00000125877	ITPA
ENSG00000125878.6	ENSG00000125878	TCF15
ENSG00000125885.13	ENSG00000125885	MCM8
